EnthalpyFus,JR Tm /K,CRC Tm /K
23.5,451.43,331.15
22.51,406.22,356.15
29.64,310.79,250.65
15.75,250.71,238.75
21.3,427.64,313.15
10.57,228.17,217.75
20.72,388.77,339.65
18.07,376.19,385.15
42.59,367.14,323.54999999999995
14.87,379.59,255.65
14.87,379.59,277.65
40.5,702.8299999999999,518.15
28.04,330.94000000000005,318.65
21.44,235.65,214.15
29.08,306.43,240.95
22.41,514.76,486.65
9.91,253.56,270.65
16.85,312.62,326.45
35.78,304.58,255.15
40.75,332.2,240.75
5.84,245.96,247.95
35.78,304.58,193.15
18.16,303.23,267.15
18.82,426.83,324.15
30.39,287.12,242.65
24.41,368.2,231.15
16.62,403.04,310.65
39.59,393.68,238.15
35.57,309.66,243.95
20.61,214.32,198.18
36.7,401.30000000000007,295.15
15.95,317.74,285.15
12.45,278.24,207.15
18.15,351.94,336.15
18.15,351.94,312.15
18.15,351.94,325.15
22.34,413.14,471.15
13.34,256.16,248.35
22.96,447.72,443.15
24.91,479.6,356.65
24.91,479.6,386.15
19.63,340.77,332.65
32.15,554.28,405.65
25.69,440.55,427.15
25.69,440.55,477.65
17.05,344.94,416.75
21.34,359.8,289.65
22.53,362.72,307.85
22.53,362.72,421.15
33.69,412.1,362.95
7.1,197.1,199.15
15.64,286.32,399.65
14.71,189.6,231.15
14.71,189.6,276.15
19.74,309.87,310.65
12.6,220.36,268.15
36.88,466.6,483.15
8.44,143.32,171.95
13.07,140.32,153.54999999999998
13.07,140.32,179.84999999999997
5.49,164.47,116.09999999999997
17.74,303.74,344.15
23.53,415.46,356.15
5.81,157.14,176.21999999999997
6.74,156.42000000000002,150.64999999999998
9.53,167.06,193.15
9.53,167.06,223.3
8.89,157.73000000000002,213.15
6.3,146.46,142.79999999999998
7.05,295.52,249.15
8.16,194.21,148.24999999999997
6.74,160.87,178.23999999999998
16.73,302.18,283.15
29.08,486.57,388.05
21.33,391.67,331.15
20.64,400.49,299.15
20.33,346.46000000000004,309.15
20.33,346.46000000000004,340.65
20.33,346.46000000000004,322.15
20.33,346.46000000000004,362.15
20.33,346.46000000000004,413.65
26.12,458.18000000000006,380.65
24.31,412.29,333.85
24.31,412.29,338.15
